aX,aY,aZ,gX,gY,gZ
0.899,-0.165,0.446,-2.686,-16.235,-22.888
0.894,-0.139,0.421,-6.714,-15.564,-17.822
0.895,-0.097,0.415,-10.864,-14.587,-11.719
0.889,-0.047,0.4,-10.559,-14.771,-6.165
0.907,0.019,0.403,-9.155,-14.954,-3.235
0.902,0.056,0.393,-4.822,-14.954,-2.93
0.897,0.064,0.392,2.441,-16.052,-6.226
0.905,0.063,0.404,12.39,-18.433,-10.925
0.897,0.031,0.39,26.428,-21.301,-15.564
0.895,0.002,0.388,35.217,-23.132,-19.409
0.888,0.026,0.389,39.551,-24.963,-18.86
0.881,0.041,0.367,47.241,-26.367,-16.968
0.913,0.048,0.384,49.988,-27.954,-14.099
0.884,0.062,0.354,53.955,-28.442,-13.306
0.87,0.065,0.332,60.547,-26.611,-11.902
0.855,0.095,0.318,68.909,-28.625,-11.658
0.861,0.102,0.307,65.002,-30.151,-13.489
0.844,0.081,0.315,60.364,-34.18,-16.479
0.845,0.102,0.338,50.72,-36.926,-17.09
0.879,0.072,0.371,41.809,-37.903,-15.869
0.845,0.115,0.393,30.151,-36.194,-12.39
0.82,0.154,0.432,24.353,-34.546,-8.484
0.825,0.142,0.472,19.165,-31.86,-7.019
0.833,0.111,0.494,11.658,-27.588,-5.859
0.824,0.102,0.507,7.08,-23.071,-4.028
0.832,0.085,0.509,3.296,-19.775,-2.319
0.835,0.081,0.509,-2.808,-16.907,-2.38
0.846,0.083,0.512,-5.554,-14.587,-2.075
0.852,0.095,0.511,-5.798,-12.268,-1.221
0.855,0.101,0.501,-5.249,-11.475,0.122
0.862,0.117,0.5,-5.554,-10.864,1.77
0.866,0.133,0.501,-6.531,-10.498,2.93
0.865,0.145,0.502,-6.104,-9.583,3.174
0.866,0.143,0.502,-3.357,-9.338,2.38
0.875,0.144,0.501,-2.258,-10.132,1.16
0.871,0.133,0.511,-1.404,-9.705,0.244
0.875,0.135,0.518,-0.793,-9.033,-0.366
0.881,0.13,0.526,-1.221,-7.935,-1.343
0.883,0.125,0.53,-1.892,-5.798,-2.014
0.882,0.115,0.529,-2.563,-3.601,-2.319
0.877,0.099,0.522,-2.38,-1.587,-1.465
0.875,0.103,0.51,-3.54,0.793,0.427
0.872,0.111,0.499,-4.028,2.625,2.197
0.87,0.109,0.485,-0.671,3.296,2.625
0.867,0.124,0.478,1.282,3.601,3.052
0.868,0.122,0.467,3.052,3.235,2.93
0.86,0.132,0.466,5.554,2.258,2.747
0.859,0.135,0.456,5.859,2.075,2.869
0.863,0.15,0.462,5.005,1.587,3.54
0.862,0.158,0.463,4.211,1.404,4.456
0.864,0.168,0.464,2.014,1.465,4.333
0.862,0.171,0.465,0.671,1.831,3.235
0.865,0.167,0.464,-0.061,2.258,1.465
0.86,0.155,0.461,-0.183,2.502,0.061
0.856,0.148,0.457,0.549,2.319,-0.671
0.855,0.155,0.448,1.831,2.075,-0.427
0.853,0.145,0.446,3.662,1.343,-0.366
0.855,0.14,0.45,3.174,0.61,-0.122
0.855,0.147,0.454,0.916,0.244,0.977
0.857,0.154,0.455,-0.244,0.366,2.014
0.854,0.158,0.457,0.427,0.61,2.075
0.849,0.161,0.461,0.916,1.038,1.526
0.851,0.155,0.457,0.793,1.526,0.732
0.849,0.15,0.453,0.305,1.343,-0.793
0.847,0.14,0.456,1.343,1.099,-2.014
0.847,0.128,0.457,2.93,0.854,-2.441
0.845,0.125,0.456,3.662,0.488,-1.953
0.844,0.124,0.451,3.296,0.305,-0.793
0.842,0.132,0.45,1.831,0.305,1.038
0.836,0.129,0.447,0.549,0.183,2.319
0.844,0.139,0.444,-0.61,0.061,3.723
0.845,0.149,0.447,-2.502,0.427,4.822
0.846,0.155,0.448,-3.54,0.854,5.188
0.851,0.165,0.448,-3.479,0.732,4.822
0.853,0.167,0.443,-1.953,0.793,3.967
0.853,0.17,0.438,0.183,1.038,2.441
0.852,0.176,0.431,2.441,0.671,0.671
,,,,,
0.838,2.191,-0.474,1.465,47.974,142.09
0.812,2.692,-0.688,-15.625,44.922,124.146
0.756,3.105,-0.944,-24.841,37.048,98.206
0.693,3.423,-1.184,-35.767,27.1,69.458
0.615,3.571,-1.373,-58.289,11.536,38.635
0.51,3.653,-1.447,-96.069,-7.812,4.7
0.412,3.652,-1.424,-125.671,-38.818,-31.311
0.285,3.593,-1.252,-138.733,-75.5,-70.496
0.144,3.448,-0.993,-149.475,-109.375,-108.643
-0.034,3.195,-0.671,-156.372,-138.062,-146.057
-0.192,2.88,-0.293,-157.288,-162.781,-180.969
-0.277,2.489,0.115,-144.592,-182.861,-214.539
-0.319,1.981,0.58,-136.963,-194.153,-244.141
-0.367,1.471,0.998,-131.653,-199.829,-266.907
-0.317,0.929,1.353,-115.54,-198.181,-278.748
-0.405,0.305,1.695,-93.75,-187.378,-278.87
-0.343,-0.127,1.847,-84.595,-178.04,-268.738
-0.237,-0.526,1.952,-86.121,-165.1,-249.39
-0.188,-0.76,1.964,-93.079,-147.888,-225.342
-0.131,-0.958,1.847,-91.492,-129.639,-205.139
-0.089,-1.145,1.739,-73.425,-114.319,-190.735
-0.034,-1.351,1.599,-43.152,-106.506,-177.368
0.01,-1.437,1.44,-33.264,-98.572,-155.701
0.046,-1.335,1.326,-59.753,-89.905,-126.953
0.069,-1.16,1.255,-103.638,-86.67,-96.802
0.098,-0.953,1.234,-135.498,-90.82,-73.059
0.148,-0.729,1.234,-137.573,-98.633,-59.631
0.157,-0.539,1.247,-118.103,-104.858,-59.143
0.137,-0.457,1.328,-89.6,-108.704,-68.665
0.143,-0.452,1.421,-61.768,-111.084,-78.674
0.153,-0.468,1.464,-42.969,-105.957,-83.923
0.154,-0.516,1.46,-34.058,-94.055,-86.304
0.165,-0.592,1.426,-28.809,-80.994,-88.684
0.181,-0.626,1.38,-22.4,-71.106,-90.82
0.161,-0.694,1.322,-11.963,-62.5,-91.614
0.233,-0.808,1.243,-3.54,-54.688,-89.05
0.245,-0.848,1.185,-6.287,-47.058,-88.745
0.294,-0.857,1.152,-13.428,-39.795,-81.177
0.357,-0.815,1.1,-24.048,-32.532,-70.129
0.389,-0.756,1.047,-28.076,-23.987,-61.401
0.448,-0.726,0.999,-27.405,-17.517,-56.091
0.466,-0.727,0.97,-24.902,-12.451,-51.331
0.481,-0.756,0.934,-15.442,-9.155,-47.791
0.5,-0.789,0.913,-3.967,-6.226,-42.419
0.525,-0.773,0.896,3.845,-4.089,-33.081
0.568,-0.706,0.89,6.592,-1.587,-21.484
0.612,-0.62,0.865,6.287,2.197,-10.437
0.631,-0.542,0.848,5.615,6.287,-2.869
0.641,-0.462,0.829,3.235,9.338,2.869
0.659,-0.37,0.805,-0.366,11.292,8.24
0.662,-0.3,0.776,-4.761,12.817,11.963
0.661,-0.256,0.748,-6.836,12.878,12.329
0.653,-0.235,0.734,-3.052,11.108,11.475
0.65,-0.223,0.727,4.272,8.911,11.78
0.655,-0.186,0.728,8.057,6.836,13.977
0.666,-0.127,0.734,7.751,5.554,17.273
0.683,-0.059,0.74,3.174,4.944,20.325
0.686,-0.02,0.75,-1.831,5.066,21.057
0.69,-0.003,0.76,-4.578,5.676,21.057
0.692,0.044,0.76,-6.409,6.653,21.667
0.698,0.061,0.764,-5.737,7.385,21.606
0.698,0.078,0.755,-7.935,8.545,20.935
0.702,0.081,0.744,-11.047,9.46,19.104
0.691,0.082,0.733,-12.878,9.949,16.479
0.693,0.078,0.732,-9.644,9.705,13.611
0.697,0.074,0.726,-6.042,9.644,10.986
0.698,0.055,0.721,-0.793,10.681,8.667
0.704,0.044,0.705,6.165,12.329,5.371
0.705,0.041,0.686,12.268,14.771,3.357
0.704,0.028,0.668,17.151,16.541,2.93
0.7,0.014,0.648,15.259,17.517,4.456
0.697,0.015,0.632,9.521,17.334,7.141
0.699,0.016,0.634,4.883,16.113,9.888
0.711,0.029,0.633,0.061,15.564,12.329
0.714,0.045,0.628,-5.371,15.381,13.733
0.717,0.062,0.623,-8.301,15.137,14.099
0.726,0.081,0.616,-9.033,14.465,13.306
0.73,0.08,0.61,-6.165,13.733,10.498
0.734,0.072,0.607,-1.77,12.268,8.301
0.735,0.071,0.607,2.258,11.353,7.446
0.736,0.077,0.605,4.822,10.681,6.775
0.744,0.098,0.594,6.714,9.888,5.554
0.746,0.095,0.601,8.911,7.324,3.967
0.744,0.074,0.595,10.132,5.676,1.16
0.743,0.05,0.593,7.324,3.296,0.854
0.744,0.041,0.599,0.122,2.38,1.404
0.75,0.043,0.612,-8.423,0.244,3.662
0.755,0.047,0.642,-15.808,-0.427,5.31
0.764,0.04,0.667,-18.799,-0.977,6.714
0.775,0.04,0.684,-20.264,0.061,8.545
0.775,0.04,0.697,-20.447,1.892,9.705
0.77,0.045,0.703,-17.7,3.174,9.521
0.773,0.051,0.702,-10.254,4.15,8.728
0.771,0.076,0.698,-6.226,5.493,9.766
0.764,0.086,0.688,-2.991,7.629,9.583
0.758,0.083,0.678,-1.099,9.888,8.728
0.755,0.094,0.657,-1.831,12.451,7.08
0.75,0.088,0.645,-4.15,13.916,6.409
0.75,0.086,0.631,-8.301,15.503,7.751
0.757,0.1,0.623,-12.39,16.357,9.888
0.752,0.089,0.626,-14.221,14.954,10.681
0.75,0.091,0.622,-14.16,15.381,10.01
0.747,0.095,0.617,-12.878,15.869,8.667
0.748,0.099,0.608,-10.559,15.625,7.812
0.746,0.107,0.601,-7.996,14.404,7.507
0.74,0.117,0.596,-4.456,13.062,5.676
0.737,0.113,0.597,-2.38,11.658,4.639
0.741,0.118,0.583,1.587,8.545,4.028
0.734,0.087,0.589,-0.305,8.423,2.38
0.738,0.087,0.592,-7.385,7.996,3.54
0.732,0.074,0.598,-14.526,7.874,5.066
0.746,0.09,0.594,-21.423,9.705,7.874
0.748,0.09,0.588,-23.804,12.268,9.338
0.75,0.095,0.585,-24.048,13.733,11.414
0.752,0.114,0.582,-23.804,13.916,11.841
0.754,0.121,0.576,-19.592,13,11.23
0.746,0.125,0.572,-14.038,12.146,9.216
0.76,0.139,0.557,-11.169,10.925,7.874
0.758,0.141,0.562,-4.639,6.897,5.615
,,,,,
0.715,2.249,-0.953,-50.354,85.022,96.802
0.693,2.424,-1.192,-64.27,74.219,71.106
0.623,2.458,-1.324,-75.562,47.302,39.795
0.571,2.41,-1.297,-83.618,9.46,14.526
0.561,2.353,-1.159,-99.304,-27.893,-3.601
0.536,2.237,-0.932,-120.056,-59.387,-20.081
0.516,2.038,-0.653,-143.616,-83.74,-34.973
0.513,1.764,-0.307,-160.4,-105.652,-53.162
0.517,1.438,0.121,-154.541,-122.742,-74.28
0.527,1.055,0.568,-134.033,-133.118,-91.187
0.517,0.64,0.941,-125,-128.479,-101.746
0.523,0.292,1.152,-126.77,-113.159,-100.769
0.508,0.041,1.274,-131.836,-98.877,-90.576
0.613,-0.012,1.196,-138.611,-84.839,-76.965
0.614,-0.066,1.235,-129.639,-77.515,-61.157
0.625,-0.009,1.24,-128.662,-78.369,-47.913
0.675,0.066,1.245,-126.831,-76.05,-38.757
0.704,0.089,1.238,-123.23,-73.792,-37.476
0.705,0.09,1.243,-108.032,-73.608,-44.617
0.683,0.074,1.242,-91.553,-75.562,-53.65
0.648,0.062,1.211,-85.388,-72.632,-57.068
0.628,0.068,1.158,-88.745,-66.101,-55.054
0.607,0.092,1.109,-88.379,-62.134,-52.551
0.614,0.109,1.06,-83.496,-61.707,-52.185
0.626,0.098,1.017,-82.458,-59.326,-54.077
0.633,0.038,1.009,-80.933,-60.059,-58.167
0.634,-0.05,1.023,-73.975,-61.218,-63.477
0.646,-0.139,1.055,-63.293,-62.561,-65.002
0.668,-0.214,1.063,-54.932,-59.387,-62.866
0.686,-0.244,1.056,-51.575,-53.65,-54.565
0.711,-0.23,1.02,-48.035,-47.852,-45.654
0.736,-0.208,0.978,-47.302,-39.124,-38.818
0.766,-0.162,0.926,-47.424,-31.433,-32.654
0.784,-0.097,0.858,-45.166,-24.475,-28.503
0.788,-0.035,0.802,-40.894,-19.897,-26.367
0.794,0.018,0.763,-36.682,-16.418,-27.893
0.792,0.028,0.738,-31.311,-15.991,-31.067
0.776,0,0.743,-20.935,-18.738,-37.292
0.78,-0.026,0.731,-10.071,-19.287,-43.457
0.772,-0.089,0.723,-3.784,-17.761,-45.41
0.767,-0.145,0.71,-1.16,-16.113,-43.518
0.783,-0.167,0.685,0.916,-15.32,-36.926
0.789,-0.168,0.648,-0.671,-10.254,-29.236
0.788,-0.148,0.601,-4.333,-4.639,-18.311
0.789,-0.11,0.565,-5.798,-2.991,-7.568
0.795,-0.039,0.545,-7.874,-0.549,-1.099
0.802,0.034,0.533,-9.277,0.488,4.639
0.816,0.105,0.513,-6.226,0.427,6.714
0.83,0.145,0.492,-3.845,2.38,5.066
0.83,0.172,0.473,1.526,0.183,3.235
0.833,0.18,0.467,5.249,-2.625,0.366
0.837,0.177,0.474,8.301,-4.761,-1.77
0.842,0.166,0.489,12.329,-4.7,-2.441
0.845,0.163,0.503,18.005,-6.042,-1.953
