aX,aY,aZ,gX,gY,gZ
0.742,-0.621,-0.515,-32.349,84.106,-18.433
0.764,-0.608,-0.524,-33.752,88.806,-12.756
0.755,-0.581,-0.545,-33.447,90.759,-6.592
0.755,-0.558,-0.566,-32.41,88.501,0.549
0.752,-0.532,-0.586,-31.372,83.13,6.775
0.74,-0.505,-0.598,-27.893,76.111,10.986
0.713,-0.481,-0.599,-24.048,69.031,13.245
0.689,-0.461,-0.594,-19.287,61.584,13.306
0.686,-0.445,-0.593,-16.174,55.42,11.047
0.689,-0.438,-0.593,-13.916,50.659,7.08
0.694,-0.433,-0.599,-9.766,42.114,1.099
0.671,-0.426,-0.611,-5.188,35.706,-2.747
0.681,-0.422,-0.619,-1.648,34.607,-4.883
0.698,-0.421,-0.63,0.427,35.767,-6.775
0.697,-0.417,-0.63,-0.671,36.865,-9.338
0.691,-0.416,-0.635,-1.648,36.926,-10.925
0.705,-0.418,-0.637,1.221,36.255,-12.024
0.71,-0.426,-0.662,3.784,34.79,-12.146
0.716,-0.432,-0.663,7.385,31.616,-11.536
0.719,-0.435,-0.668,8.85,27.466,-10.132
0.722,-0.439,-0.668,10.681,22.4,-8.484
0.728,-0.441,-0.662,9.766,18.921,-6.653
0.727,-0.445,-0.65,8.728,13.916,-4.028
0.729,-0.435,-0.635,6.653,10.437,-1.282
0.735,-0.425,-0.619,3.967,7.08,1.648
0.735,-0.409,-0.603,1.099,2.93,4.639
0.727,-0.4,-0.588,-2.197,1.831,6.287
0.731,-0.391,-0.576,-4.395,0.305,8.118
0.739,-0.378,-0.558,-4.822,0.61,7.507
0.735,-0.374,-0.555,-7.568,2.686,6.47
0.734,-0.374,-0.558,-7.385,2.197,6.897
0.734,-0.38,-0.56,-5.31,3.845,5.127
0.735,-0.387,-0.558,-5.188,6.653,3.357
0.737,-0.398,-0.56,-4.333,7.507,2.258
0.744,-0.402,-0.569,-1.892,6.775,1.465
0.755,-0.402,-0.573,-0.854,8.179,-0.916
0.755,-0.403,-0.58,-1.221,7.996,-1.221
0.748,-0.403,-0.581,0.793,5.31,-1.831
0.745,-0.401,-0.571,-0.977,4.944,-2.869
0.743,-0.401,-0.562,-1.77,3.235,-3.113
0.744,-0.407,-0.557,0.732,2.075,-4.578
0.742,-0.419,-0.559,1.77,1.343,-4.944
0.748,-0.433,-0.565,3.235,-0.366,-5.432
0.758,-0.446,-0.567,1.282,0.549,-5.066
0.761,-0.449,-0.573,0.122,-0.977,-2.625
0.764,-0.453,-0.576,1.831,-2.502,-0.732
0.768,-0.451,-0.577,2.686,-2.869,0.427
0.775,-0.448,-0.576,1.587,-3.54,2.197
0.774,-0.439,-0.564,-0.793,-4.639,3.723
0.775,-0.429,-0.552,-2.136,-5.737,5.554
0.768,-0.421,-0.54,-1.709,-5.371,6.042
0.762,-0.414,-0.531,-1.343,-5.31,7.019
0.757,-0.411,-0.521,-1.038,-4.272,6.958
0.755,-0.406,-0.51,-1.221,-3.479,6.653
0.756,-0.4,-0.503,-0.793,-2.197,6.104
0.757,-0.402,-0.506,1.343,-0.488,4.578
0.758,-0.407,-0.521,3.601,0.305,3.113
0.767,-0.418,-0.539,4.639,0.854,1.709
0.788,-0.424,-0.557,6.104,1.038,-0.305
0.797,-0.434,-0.568,9.033,0.854,-1.709
0.804,-0.444,-0.572,10.498,-0.671,-0.732
