aX,aY,aZ,gX,gY,gZ
-0.618,-0.007,1.025,-0.732,15.747,-1.770
-0.639,-0.002,1.017,-2.869,17.517,-2.258
-0.620,0.005,1.032,-4.456,19.470,-0.183
-0.577,0.004,1.056,-4.517,19.958,2.075
-0.536,0.008,1.062,-5.005,16.235,3.906
-0.508,0.010,1.045,-4.700,8.911,5.066
-0.489,0.006,1.005,-1.770,0.000,4.761
-0.489,-0.006,0.948,3.479,-5.249,2.441
-0.493,-0.007,0.880,8.362,-9.399,0.610
-0.497,-0.011,0.832,9.644,-8.972,-2.075
-0.510,-0.012,0.797,10.620,-9.277,-6.226
-0.520,-0.002,0.775,8.789,-9.094,-7.996
-0.523,0.018,0.769,8.301,-7.202,-9.766
-0.530,0.042,0.776,6.714,-5.127,-10.010
-0.529,0.060,0.788,5.249,-2.075,-8.484
-0.523,0.073,0.796,3.479,0.183,-5.737
-0.517,0.080,0.813,0.977,0.122,-2.747
-0.509,0.077,0.819,1.770,-2.563,-1.282
-0.505,0.072,0.816,1.404,-2.747,-0.610
-0.508,0.059,0.815,2.625,-3.845,0.793
-0.508,0.046,0.817,3.784,-2.686,-0.244
-0.506,0.042,0.817,1.587,-2.197,0.671
-0.505,0.050,0.817,1.160,-3.357,0.000
-0.516,0.062,0.821,-1.099,-3.784,-0.549
-0.524,0.079,0.825,-2.625,-3.845,-0.244
-0.536,0.082,0.829,-2.991,-2.991,-0.366
-0.537,0.087,0.836,-1.465,-1.038,1.221
-0.535,0.082,0.840,1.587,-0.122,4.028
-0.528,0.061,0.848,3.967,0.610,6.165
-0.521,0.051,0.849,5.676,0.793,7.446
-0.516,0.041,0.853,6.409,0.000,7.629
-0.517,0.030,0.854,6.653,0.549,6.348
-0.517,0.017,0.848,6.531,1.343,5.310
-0.516,0.003,0.848,5.432,0.244,4.272
-0.511,-0.002,0.841,3.235,-1.404,3.479
-0.511,-0.006,0.834,1.709,-3.479,2.136
-0.513,-0.010,0.828,0.977,-6.165,1.831
-0.518,-0.002,0.825,-1.160,-4.578,0.122
-0.517,0.006,0.824,-2.075,-4.272,-0.549
-0.516,0.015,0.827,-2.136,-3.662,-0.977
-0.512,0.028,0.834,-0.122,-3.296,-1.526
-0.510,0.030,0.837,4.395,-3.113,-1.953
-0.512,0.027,0.834,7.996,-3.784,-2.380
-0.515,0.023,0.828,8.728,-4.883,-2.441
-0.514,0.019,0.819,8.850,-5.310,-2.563
-0.516,0.015,0.811,6.226,-5.493,-2.747
-0.523,0.013,0.805,2.502,-4.822,-3.052
-0.527,0.013,0.803,0.854,-4.150,-3.418
-0.524,0.019,0.802,0.061,-4.211,-3.662
-0.519,0.030,0.810,-0.122,-5.310,-3.235
-0.522,0.039,0.817,-0.061,-5.920,-2.808
-0.524,0.049,0.820,0.000,-5.005,-3.174
-0.524,0.055,0.820,1.831,-3.052,-3.906
-0.530,0.054,0.818,4.517,-4.517,-3.052
-0.533,0.050,0.812,4.028,-2.869,-2.380
-0.531,0.044,0.807,4.944,-2.991,-2.563
-0.533,0.037,0.805,3.845,-4.089,-1.221
-0.531,0.026,0.808,0.488,-1.892,-1.099
-0.528,0.026,0.814,0.183,-1.587,-1.526
-0.517,0.028,0.828,-2.747,-2.319,0.000
-0.516,0.037,0.842,-5.615,-1.221,-0.977
-0.517,0.049,0.853,-5.066,-2.014,-2.502
-0.525,0.049,0.859,-3.906,-4.456,-2.014
-0.531,0.048,0.861,-2.319,-3.906,-1.953
-0.538,0.043,0.853,2.686,-5.310,-2.136
-0.542,0.033,0.844,4.944,-6.287,-1.343
-0.542,0.021,0.842,5.066,-5.920,-1.831
-0.546,0.019,0.843,3.174,-6.042,-1.343
-0.548,0.020,0.847,-0.244,-5.798,-0.854
-0.542,0.025,0.853,-2.869,-3.662,-2.014
